Employment - Title,Job Description,Employment - Type,Major,Skills / Qualifications
2016   Technology Internship/Co-op Program,"Gain valuable business experience     Fortune 100 company! Working   Liberty Mutual Insurance       Technology division         opportunity   work   exciting   emerging technologies.       work   great people,         leaders     technology fields. Liberty Mutual’s internship   co-op programs       chance   work     variety   critical business assignments, test   skills,     academic knowledge   match   interests     real job.   Position       intern   co-op   Liberty Mutual Insurance,     work     trained professionals, learning   applying valuable skills.   typical intern/co-op student     undergraduate     handle projects         work   performed     entry-level, professional employee. Assignments   include: Software development,   analysis, quality assurance, data analytics,   security, network   systems administration,   middleware/midrange technologies.   Interns work     professionals   develop business solutions   emerging technologies, including cloud, HTML5, CSS3, SAS, JEE, .NET, business intelligence, responsive design,   mobile apps   create   business solutions. Work Environment   Liberty’s   Department   work environment   focused   collaboration   team work.   teams work closely     deliver quality products   drive results.   industry   quickly,           candidates     respond   change, pick     technologies     adapt   changing requirements     management approaches (e.g. waterfall, agile).   importantly,     engaged   stimulating   meaningful work   enjoy   environment   demonstrates   commitment   treating     dignity   respect. Locations: Portsmouth   Dover, NH; Seattle, WA; Indianapolis, IN; Fairfield, OH; Wausau, WI;   Boston, MA Company Overview:   Liberty Mutual Insurance,           essential. That’s     offer   diverse range   student opportunities   complement   academics,   provide experience     responsibility   stimulating work. You’ve       investment     education,                   career.     Fortune 100 company,       resources   training       expand   skills, knowledge,   creativity   drive   business forward.   diversified global insurer, LMI employs   50,000 people       900 offices worldwide.   $39.6 billion   annual consolidated revenue, LMI     U.S.’s 3rd largest property   casualty insurer.",Internship,"Health   Management   Systems,   Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics, Mathematics,       Science","• Working     Bachelor's Degree     Science,   Engineering,     Systems, Informatics, Management   Systems,   Technology, Mathematics       technical programs • Strong technical, analytical, communication, & organizational skills • Experience     systems, software applications   analyzing quantitative   • Minimum 3.0 cumulative GPA (additional requirements   apply)"
Product Stewardship & Regulatory Compliance Intern (PRO00006297),"  Product Stewardship   Compliance intern     responsible   project research, analysis,   recommendations   management, assisting strategy leads   regulatory managers   projects. Writing, oral presentation skills,   organizing large amounts       usable form     required. Create commercial product stewardship support materials. • Update sales training materials including e-learning modules, technical brochures,   sell sheets. • Coordinate updates   marketing   communications personnel   create   revise customer-facing stewardship materials including Product   Guides     technical brochures. • Edit content     internal Stewardship   Compliance website     external stewardship website   Pioneer.com. Develop working knowledge   DuPont Pioneer Bt Corn product registration terms   conditions. • Provide communication, training,   data analysis support   DuPont Pioneer Bt Corn On-Farm Assessments   IRM Compliance. • Provide weekly reports detailing   party assessor company progress   meeting project objectives   goals. Learn   DuPont Pioneer     agriculture industry. • Participate     Pioneer Professional Intern program. • Attend select meetings     Biotechnology Affairs   Stewardship & Compliance staff. • Coordinate networking sessions     DuPont Pioneer professionals.",Internship,"Agricultural Communication, Agribusiness   Applied Economics, Agriscience Education, Agricultural Systems Management, Plant Pathology, Environment Economy Development   Sustainability, Sustainable Plant Systems, Community Leadership, Environmental Policy   Decision Making, Plant Health Management, Undergraduate Majors","Candidates       Sophomore standing   above, majoring   agriculture   policy   field     ag economics, ag communications, agronomy, public policy,   political science. Knowledge     agriculture industry   policy development process preferred. Competencies: • Strong organizational skills   attention   detail. • Working knowledge   Microsoft Excel. • Ability   work     team environment   contribute   high priority   time-sensitive activities. • Excellent writing skills, including   ability   translate regulatory policy     stewardship requirements           growers   sales professionals. • Ability   establish   professional working relationship   DuPont Pioneer employees   external stakeholders. • Ability       synthesize large amounts         variety   sources. Ability   recognize trends   detailed   disparate information."
Secondary Mathematics Teacher,"1. Teaches District approved curriculum. 2. Meets   instructs assigned classes     locations       times designated. 3. Plans   program   study   meets   individual needs, interests,   ability     students. 4. Creates   classroom environment     conducive   learning         maturity         students. 5. Takes       reasonable precautions   protect students, equipment, materials,   facilities. 6. Employs   variety   instructional techniques   instructional media, consistent     physical limitations     location           capabilities     individuals   student groups involved. 7. Establishes   maintains reasonable standards   procedures   pupil behavior   achieve   effective learning atmosphere. 8. Guides   learning process     achievement   curriculum goals and—in harmony     goals—establishes clear objectives     lessons, units, projects         communicate   objectives   students. 9. Identifies students   special education referrals     regular basis, seeking   assistance   district specialists   required. 10. Evaluates pupils’ academic   social growth,   accurate records     prepares progress reports. 11.       students   parents   education-related purposes     instructional day.",Career Employment – Graduating Students & Alumni,"Lic: Middle Childhood Education, Lic: Early Childhood Education, Mathematics","1.   year degree     accredited teacher preparation program. 2.     Highly Qualified   content area   Mathematics endorsement (EX) 3. Valid Michigan Teaching Certificate   area   study required. 4.   perform   job successfully,   individual         perform   essential duty satisfactorily."
Leap Technology Program Associate,"  Fidelity,   12,000+ technology professionals focus   new, forward-thinking ideas.   invest   continuous research, effective deployment   rapid adoption   game-changing technology platforms. Company Overview   Fidelity,     focused   making   financial expertise broadly accessible   effective   helping people live   lives   want—     23   people investing   life savings,     20,000 businesses managing   employee benefits programs,   the10,000 advisors   institutions needing innovative technology solutions   invest   clients’ money.       well,     privately held company,   place   high degree       nurturing   work environment   attracts     talent   reflects   commitment       employer   choice.         Fidelity Investments, visit https://www.fidelity.com/about-fidelity/overview.       working   Fidelity, visit https://jobs.fidelity.com/.   Fidelity? -   consecutive years   CareerBliss’   50 Happiest Companies Employees Survey -   company     committed   innovation       industry leader   investing   technology -     12,000 technology professionals utilizing   Agile methodology enterprise-wide - Access   top-tier technology platforms, OS,   frameworks - Non-traditional benefits     Concierge Service,   Equipment Purchase Assistance Program   profit sharing eligibility Fidelity Investments     equal opportunity employer. Leap   Fidelity Investments’ exciting training   development program       graduates.   program   designed   accelerate   development       graduates     best-in-class technologists. Participants   Leap   benefit     enriched on-boarding program     specific technology, business   professional skills training.   training promises   challenge   excite   responsibility   visibility. Opportunities   upcoming     graduates exist   multiple locations     US. - Software Engineers   responsible     development   applications       internal   external customers   trading, benefits management,   core application needs. - Systems Analysts provide essential requirements gathering   software design expertise   software development teams   application development, enhancements   modifications. - Quality Assurance Engineers plan   automate tests, prepare test cases, troubleshoot defects,   manage quality assurance projects. - Data Engineers design data centered software solutions   organize Fidelity’s   assets   conduct analysis       share insights. - Mainframe Developers design, develop,   test innovative software solutions, enabling Fidelity   provide     products   services     customers. - Technology Infrastructure Engineers evaluate, test,   implement technology solutions core     firm’s ability   provide     products   services     customers.   training takes place     site   Cary, NC;   suburb   North Carolina’s   Triangle Park. Company Culture   Fidelity,           here.   reward ambitious, passionate individuals     work environment   fosters diversity, teamwork   collaboration       encourages innovative ideas   fresh thinking.   recognize       employees’ individual differences   contribute     bright   strong future     company.         visit http://leap.fidelitycareers.com.",Career Employment – Graduating Students & Alumni,"Health   Management   Systems,   Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics, Industrial   Systems Engineering, Data Analytics, Mathematics,       Science","Education   Experience - BS degree     Science/Computer and/or Systems Engineering,   type major     major     technical minor/concentration - Hands-on technical experience   application development, databases and/or networking - Prior technology-related internship experience   preferred Skills   Knowledge - Passion   working   technology   solve business problems - Client-focused, results-driven mindset - Ability   collaborate         team-oriented, fast-paced environment - Strong communication skills -       financial services industry"
Technical Internship Program,"  Fidelity,   12,000+ technology professionals focus   new, forward-thinking ideas.   invest   continuous research, effective deployment   rapid adoption   game-changing technology platforms. Fidelity Investments   seeking       brightest minds,     passion   technology,   join   Summer 2016 Technology Internship Program.   technology internship   Fidelity       develop   technical, professional,   interpersonal skills       valuable     career. Working             technologists     industry,       real   meaningful work       direct impact     business   customers.   addition   real work experience,   Internship Program     personal   career development opportunities         robust summer series   events     networking opportunities     organization     duration     internship assignment.     Fidelity,   invest         resources   technology –       invest   YOU!   Fidelity? -   company     committed   innovation       industry leader   investing   technology -     12,000 technology professionals utilizing   Agile methodology enterprise-wide - Access   top-tier technology platforms, OS,   frameworks -   consecutive years   CareerBliss’   50 Happiest Companies Employees Survey Company Culture   Fidelity,           here.   reward ambitious, passionate individuals     work environment   fosters diversity, teamwork   collaboration       encourages innovative ideas   fresh thinking.   recognize       employees’ individual differences   contribute     bright   strong future     company.   invest   identifying technologies   tools   benefit   customers   employees.         Fidelity's future!   Fidelity Learn         12,000 technologists   know: Fidelity Investments         world-class financial institution –       top-tier technology company.   Fidelity,     focused   making   financial expertise broadly accessible   effective   helping people live   lives   want—     23   people investing   life savings,     20,000 businesses managing   employee benefits programs,   the10,000 advisors   institutions needing innovative technology solutions   invest   clients’ money.   Technology professionals   Fidelity maintain   competitive edge     financial services industry,   enjoy opportunities     specialties   technology. Fidelity Investments     equal opportunity employer.   learn       program   apply online   http://techinterns.fidelitycareers.com Opportunities exist in: Durham (RTP), NC; Westlake, TX; Boston, MA; Smithfield, RI; Merrimack, NH; Covington, KY; Jersey City; NJ;   York; NY,   Salt Lake City, UT Roles   • Software Engineering: work   Software Development Lifecycle focused   systems analysis, design, development, testing   support   software applications (Java). Web application development   HTTP server, Web Services   Open Source technologies (Linux, Struts, Spring MVC, Hibernate   iBatis ORM) • Systems Analysis: business requirements elicitation   specification   project management duties designing, building, analyzing enhancements   web-based applications.   design specification including UI design. • Quality Assurance Engineering: unit Testing,   Integration Testing, Test planning design. Testing   project management skills   agile   waterfall software development methodologies. • Data Engineering: Database creation, development,   data manipulation   SQL   PL/SQL (Oracle RDBMS). • Mainframe Development: utilize Mainframe development technologies including: COBOL, TSO, JCL, DB2, VSAM   DB2 stored procedures. • Technology Infrastructure Engineering: evaluate, test,   implement technology solutions core     firm’s ability   provide     products   services     customers.",Internship,"Health   Management   Systems,   Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics, Industrial   Systems Engineering, Data Analytics, Mathematics,       Science","Education   Experience - Current enrollment     B.S. degree program     Science         degree,     major     technical minor/concentration - Matriculating student returning   school     Fall   2016 Skills   Knowledge - Basic foundation   OO design - Understanding   Relational Databases - Experience   relational DB access, SOAP   REST services   Java     - Basic SQL and/or UNIX   desirable"
Agronomist-Emerging Leaders Program (PRO00005991),"  DuPont Pioneer Emerging Leaders Program offers job training   targeted career development   select college graduates   wide exposure   high-touch experiences     DuPont Pioneer business.     designed   provide trainees       knowledge, experience   skills     future leadership positions   DuPont Pioneer. Assignments     relate   seed production       responsibilities including     limited   grower relations, contracting, parent seed allocation, field inspections, harvest, bin sampling, receiving, conditioning, packaging, warehousing.   Agronomist-ELP   manage   coordinate assigned projects         business unit   location.   Agronomist-ELP position   designed   span 12-24 months,     minimum requirement   12 months.   2016 position locations   include production locations   Illinois, Indiana, Iowa, North Dakota,     locations   North America.   willingness   relocate   necessary. Position start dates     January 2016   June 2016. Training   development opportunities     leveraged     DuPont Commercial Development Program based   Wilmington, Delaware.",Career Employment – Graduating Students & Alumni,"Agricultural Systems Management, Plant Pathology, Sustainable Plant Systems, Plant Health Management, Food Agricultural   Biological Engineering, Horticulture   Crop Science, Plant Pathology, Plant Health Management, Food Agricultural   Biological Engineering, Undergraduate Majors","Minimum   bachelor's degree   agriculture, agronomy, soil science       field   broad       agriculture industry. 0-2 years experience working   seed growers/seed plant operations   equivalent education   experience preferred. Willingness   learn   aspects   seed production,   willingness   relocate   necessary. Strong communication skills (oral   written), teamwork   leadership skills,   strong     analytical skills. Ability   build   maintain strong relationships   growers, work effectively     team environment,   lead   influence teams/projects. Knowledge   production agriculture   production plant operations; knowledge   field equipment; supervisory   team leadership skills; training skills; priority management   ability   adjust     changing conditions; good verbal communication skills; advanced level   PC skills; willingness   work     variety   conditions (field, plant, warehouse - hot, cold, dust, etc.); ability   lift     60 lbs."
Logistics Development Program (LDP),"4-6 month training period   include learning   development opportunities     areas of: * Transportation * Supply Planning * Warehouse Logistics Assignments     program   include Analyst Logistics, WOD Operations Mgmt, Product Supply Coordinator, Brewery Logistics Planner, Brewery Warehouse Group Manager Designed     development role         graduates Learn   business     number   short-term, cross-functional/department assignments Salary: US$70000   year + 10% bonus",Career Employment – Graduating Students & Alumni,"Logistics Management, Master   Business Logistics Engineering, Master   Business Administration, Undergraduate Majors","Opportunity   advance rapidly     organization * B.S, M.S,   MBA     focus   background   Supply Chain, Logistics, Industrial Engineering,     field * Degree completion   May/June 2016 -     Dec 2015 grads     Feb 2016 start. * Logistics, Supply Chain,     experience preferred * Proficient   Microsoft Word, Excel, Outlook,   PowerPoint * Ability   manage multiple tasks simultaneously, work   numerous internal customers   departments,   wholesalers. * Desire   work     fast-paced, team oriented environment * Strong desire   learn   develop     drive   deliver     stretch targets * Self-starter, driven,     high attention     *     effectively manage multiple projects simultaneously * Proven leadership ability * Mobile   North America     duration     program * 3.0 GPA   higher"
"  Technology, student (Focus: Application Development)","General Summary:     direction     supervisor, Software Development, develop   provide support   current browser-based systems. Principal Duties   Responsibilities: 1. Support development phase     application development life cycle   browser-based applications       defined standards. 2. Code, test   implement browser-based programs. 3. Provide internet   intranet support   users. 4. Develop   maintain   documentation       defined standards. 5. Provide status reports       defined standards. 6. Resolve PC   web application production problems   necessary.",Internship,"Health   Management   Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics, Mathematics,       Science","Knowledge, Skills,   Abilities: 1. College student contemplating   career   math,   science   business. 2. Successful completion         programming   required. 3. Coursework preferred   RDBMS,     SQL Server, Oracle, PL/SQL, MySQL. 4. Experience   PC, local area network (LAN), internet   intranet required. 5.   average oral   written communication skills required. 6. Ability   adhere   strict deadlines   moderate supervision. 7. Excellent work record   attendance   punctuality; occasional evening, weekend   non-regular work hours required."
Human Capital Intern,"Position: Human Capital Intern Locations: Atlanta, Boston, Chicago, Cleveland, Dallas, Detroit, Houston , Los Angeles, McLean, Minneapolis,   York, Philadelphia, Salt Lake City, San Francisco, San Jose   Seattle     considered     interview   Ernst & Young LLP: •       apply     school’s online recruiting             positions. •     apply     online     www.ey.com/us/apply. Select   job description         applying: campus   time   intern application •     complete   Recruiting Candidate Preferences Form (tinyurl.com/OSUEYPrefLink).                 EY Human Capital   current economic environment       increasing     pressure   organizations     people   perform   higher levels.     result,   human resources (HR) function     confronted     wide array   demands ranging   efficient   effective compliance processes   systems     strategic alignment     organization’s business   talent strategies.   organizations expand   global footprint,       increasingly efficient, nimble   cost competitive.   business models evolving,     people issues   complex,   keeping employees engaged   critical   winning     market.       EY’s Human Capital practice,       opportunity   build     working     helping companies address   critical business issues.   introduction     Human Capital Diversified Staff Group Developing   people       priority   Ernst & Young.     Human Capital practice,       unique development opportunity     Human Capital Diversified Staff Group,   HC DSG.         years     firm,         opportunity   develop deep technical expertise       area,   gaining experiences     variety   areas   broaden   knowledge   Human Capital.           experiences needed   discover     interests   talents lie           years,     start       specialized           Human Capital’s pillars (Talent & Reward, HR Performance Improvement   Mobility). Prioritizing   development             strongest Human Capital professional possible.             EY,         point   view, energy   enthusiasm     difference.       exceptional learning opportunities   Human Capital interns   team     experienced colleagues   serve   clients.         HC DSG,         working     variety   engagements, focused           key business initiatives: • Developing relevant   flexible tax   regulatory-compliant compensation, benefit   incentive approaches   clients, including: - Advising clients     taxation   compensation   benefit programs, including     global programs - Benchmarking   designing executive compensation arrangements - Developing   reviewing proxy disclosures   executive compensation - Consulting     reporting   compliance requirements     Affordable Care   • Supporting clients   complex transactions (e.g., mergers, acquisitions   divestitures), including: - Conducting financial   diligence   HR, compensation   benefit programs - Assessing operational readiness     transaction - Advising     tax   financial implications   severance   executive compensation arrangements - Developing strategies   HR, compensation   benefit programs • Advising clients     implications   moving employees   global borders, including: - Preparing tax cost estimates - Advising   compensation   payroll matters   cross-border employees - Preparing individual tax returns   expatriates - Conducting benchmarking   policy design engagements - Coordinating global engagements, including working     Global Talent Hub - Advising     local country tax implications   individuals   assignment • Assisting clients   actuarial, pension   benefit-related activities, including: - Preparing complex actuarial valuations     disclosures - Reviewing annual tax   financial disclosures   connection   required annual audits - Assessing financial   compliance risks   retirement   benefit plans - Preparing individual benefit calculations - Conducting plan design   benchmarking engagements - Preparing annual employee benefit plan filings     IRS   DOL • Leading HR   payroll performance improvement initiatives, including: - Assessing service delivery models, including developing   business case   insourcing/outsourcing - Conducting HR   payroll vendor search engagements - Supporting   implementation     HR   payroll outsourcing arrangement,       implementing HR shared services - Assisting clients   developing HR technology strategies,   integrating   supporting   HR   systems (HCM)   software,   support broader business initiatives • Helping clients gain   “people advantage”   setting   comparing metrics, supporting sophisticated reporting,   addressing workforce costs   HR processes • Developing data-supported workforce strategies   employee   propositions, managing talent, addressing people risk, developing capability     levels   focusing   organizational development activities, including culture change.     intern     HC DSG,       exposed     variety   skills   substantial experiences       competencies   Human Capital       well-rounded professional.   addition,   professionals     ability   deepen   knowledge     selected competency.   professionals   strong business acumen   connect business strategies   people strategies. Ernst & Young LLP,   equal employment opportunity employer (Females/Minorities/Protected Veterans/Disabled), values   diversity     workforce     knowledge     people.   learn     career opportunities   EY,   visit     www.ey.com/us/careers.   global Ernst & Young organization     leader   assurance, tax, transaction   advisory services.   insights   quality services   deliver   build trust   confidence     capital markets     economies     over.   develop outstanding leaders   team   deliver     promises         stakeholders.     doing,   play   critical role   building     working       people,     clients       communities.",Internship,"Accounting, Economics - Business, Finance, Human Resources, Master   Human Resource Management, Master   Accounting, Master   Finance –Specialized,   Science   Engineering, Electrical     Engineering, Engineering Physics,   Science   Engineering, Electrical     Engineering, Law-JD, Master   Laws-LL.M., Actuarial Science, Psychology, Economics, Mathematics,       Science, Statistics, Mathematical Sciences - MMS, Economics, Mathematics - MS & PhD, Psychology","  addition     specific requirements listed   competency,   expect candidates         qualities: • Strong academic record, including,   limitation   work   EY deems relevant     position • Analytical     skills • Excellent client service, interpersonal, teaming, communication (written   verbal), organizational,   project management skills • Strong quantitative acumen, including outstanding analytical ability • Strong follow-through skills   attention     • Effectively multitask   work independently     fast-paced global environment     ability   work   pressure   adhere   project deadlines • Proficiency     MS Office suite   products • Willingness   ability   travel • Integrity     professional environment Position requirements   EY,       bringing diversity   thought     clients.     result,   seek candidates   varying backgrounds   join   team.   qualify, candidates       pursuing             following: •   bachelor’s   master’s degree     concentration               fields: - Accounting   taxation (and pursuing CPA) - Actuarial science, mathematics,   statistics (and pursuing pension and/or health   welfare actuarial examinations   credentials   successful completion   1-2 exams) - Human resource management - Finance, economics       business major - Organizational development   organizational behavior -   technology   management   systems •   JD   LLM (having     actively pursuing certification   membership     bar)"
Human Capital Staff,"Position: Human Capital Staff Locations: Atlanta, Boston, Chicago, Cleveland, Dallas, Detroit, Houston, Los Angeles, McLean, Minneapolis,   York, Philadelphia, Salt Lake City, San Francisco, San Jose   Seattle     considered     interview   Ernst & Young LLP: •       apply     school’s online recruiting             positions. •     apply     online     www.ey.com/us/apply. Select   job description         applying: campus   time   intern application •     complete   Recruiting Candidate Preferences Form (tinyurl.com/OSUEYPrefLink).                 EY Human Capital   current economic environment       increasing     pressure   organizations     people   perform   higher levels.     result,   human resources (HR) function     confronted     wide array   demands, ranging   efficient   effective compliance processes   systems     strategic alignment     organization’s business   talent strategies.   organizations expand   global footprint,       increasingly efficient, nimble   cost competitive.   business models evolving,     people issues   complex,   keeping employees engaged   critical   winning     market.       EY’s Human Capital practice,       opportunity   build     working     helping companies address   critical business issues.   introduction     Human Capital Diversified Staff Group Developing   people       priority   Ernst & Young LLP.     Human Capital practice,       unique development opportunity     Human Capital Diversified Staff Group,   HC DSG.         years     firm,         opportunity   develop deep technical expertise       area   gaining experiences     variety   areas   broaden   knowledge   Human Capital.           experiences needed   discover     interests   talents lie           years,     start       specialized           Human Capital’s pillars (Talent & Reward, HR Performance Improvement   Mobility). Prioritizing   development             strongest Human Capital professional possible.             EY,         point   view, energy   enthusiasm     difference.       exceptional learning opportunities   Human Capital staff   team     experienced colleagues   serve   clients.         HC DSG,         working     variety   engagements, focused           key business initiatives: • Developing relevant   flexible tax   regulatory-compliant compensation, benefit   incentive approaches   clients, including: - Advising clients     taxation   compensation   benefit programs, including     global programs - Benchmarking   designing executive compensation arrangements - Developing   reviewing proxy disclosures   executive compensation - Consulting     reporting   compliance requirements     Affordable Care   • Supporting clients   complex transactions (e.g., mergers, acquisitions   divestitures), including: - Conducting financial   diligence   HR, compensation   benefit programs - Assessing operational readiness     transaction - Advising     tax   financial implications   severance   executive compensation arrangements - Developing strategies   HR, compensation   benefit programs • Advising clients     implications   moving employees   global borders, including: - Preparing tax cost estimates - Advising   compensation   payroll matters   cross-border employees - Preparing individual tax returns   expatriates -Conducting benchmarking   policy design engagements - Coordinating global engagements, including working     Global Talent Hub - Advising     local country tax implications   individuals   assignment • Assisting clients   actuarial, pension   benefit-related activities, including: - Preparing complex actuarial valuations     disclosures - Reviewing annual tax   financial disclosures   connection   required annual audits - Assessing financial   compliance risks   retirement   benefit plans - Preparing individual benefit calculations - Conducting plan design   benchmarking engagements - Preparing annual employee benefit plan filings     IRS   DOL • Leading HR   payroll performance improvement initiatives, including: - Assessing service delivery models, including developing   business case   insourcing   outsourcing - Conducting HR   payroll vendor search engagements - Supporting   implementation     HR   payroll outsourcing arrangement,       implementing HR shared services - Assisting clients   developing HR technology strategies,   integrating   supporting   HR   systems (HCM)   software,   support broader business initiatives. • Helping clients gain   “people advantage”   setting   comparing metrics, supporting sophisticated reporting,   addressing workforce costs   HR processes • Developing data-supported workforce strategies   employee   propositions, managing talent, addressing people risk, developing capability     levels   focusing   organizational development activities, including culture change     staff     HC DSG,       exposed     variety   skills   substantial experiences       competencies   Human Capital       well-rounded professional.   addition,   professionals     ability   deepen   knowledge     selected competency.   professionals   strong business acumen   connect business strategies   people strategies. Ernst & Young LLP,   equal employment opportunity employer (Females/Minorities/Protected Veterans/Disabled), values   diversity     workforce     knowledge     people.   learn     career opportunities   EY,   visit     www.ey.com/us/careers.   global Ernst & Young organization     leader   assurance, tax, transaction   advisory services.   insights   quality services   deliver   build trust   confidence     capital markets     economies     over.   develop outstanding leaders   team   deliver     promises         stakeholders.     doing,   play   critical role   building     working       people,     clients       communities.",Career Employment – Graduating Students & Alumni,"Accounting, Economics - Business, Finance, Human Resources,   Systems, Master   Human Resource Management, Master   Accounting, Master   Finance –Specialized,   Science   Engineering, Electrical     Engineering, Engineering Physics,   Science   Engineering, Electrical     Engineering, Master     Study   Law-M.S.L., Law-JD, Master   Laws-LL.M., Actuarial Science, Psychology, Economics, Mathematics,       Science, Statistics, Mathematical Sciences - MMS, Economics, Mathematics - MS & PhD, Psychology","   addition     specific requirements listed   competency,   expect candidates         qualities: • Strong academic record, including,   limitation,   work   EY deems relevant     position • Analytical     skills • Excellent client service, interpersonal, teaming, communication (written   verbal), organizational   project management skills • Strong quantitative acumen, including outstanding analytical ability • Strong follow-through skills   attention     • Effectively multitask   work independently     fast-paced global environment     ability   work   pressure   adhere   project deadlines • Proficiency     MS Office suite   products • Willingness   ability   travel • Integrity     professional environment Position requirements   EY,       bringing diversity   thought     clients.     result,   seek candidates   varying backgrounds   join   team.   qualify, candidates       pursuing             following: •   bachelor’s   master’s degree     concentration               fields: - Accounting   taxation (and pursuing CPA) - Actuarial science, mathematics   statistics (and pursuing pension and/or health   welfare actuarial examinations   credentials   successful completion   1-2 exams) - Human resource management - Finance, economics       business major - Organizational development   organizational behavior -   technology   management   systems •   JD   LLM (having     actively pursuing certification   membership     bar)"
Freddie Mac Accounting/Finance Analyst,"Finance Analyst 3244BR Finance & Accounting Mc Lean, VA August 27, 2015 Position Overview     Freddie Mac Accounting/Finance Analyst,         experience   resources needed   kick-start   successful career   accounting   finance.     elite two-year program,   rotate   challenging   positions     months, working     wide range   real-world accounting   finance   operations.       candidates     drawn   understanding complex business problems   finding viable solutions, curious, attentive       excel     team environment. Grow   career   building   network   working   people           succeed.     two-year program,   gain in-depth experience       areas: * Financial Close Process:     Finance Division produce accurate GAAP financial statements   participate   'closing   books'. * Management Reporting   Analytics:     Finance Division perform           tasks-preparing unbiased financial reports   business performance   internal management. * Specialized Finance   Partner Collaboration: Facilitate collaboration   gain   understanding   specialized areas     Finance Division     areas     company. * Occasional work   core business hours   weekends     needed. Learning   Networking Opportunities * Mentoring: Gain professional development   guidance     member   management. Interact   leaders     company   program events   participate   social   philanthropic activities. * Continuous Learning   Networking:   advantage   hundreds   instructor-led   online courses   Freddie Mac University. Participate   formal   informal networking opportunities. Closing Statement Freddie Mac     shareholder-owned company       public mission:               America's families.     this,     smart, creative people   diverse backgrounds           difference     people's lives         own.   demonstrate   commitment   employees   providing   comprehensive Total Rewards Program. Freddie Mac     equal opportunity employer   firmly supports   recognizes       diversity. EOE, M/F/D/V.   hired candidate     legally authorized   work     United     restriction. Freddie Mac     intend   support hiring   students, exchange visitors,     graduates   F-1, J-1,   M-1 visas,     individuals requiring sponsorship     employment based visa application (such   H-1B)   connection     openings.'",Career Employment – Graduating Students & Alumni,"Consumer   Family Financial Services, Undergraduate Majors, Accounting, Economics - Business, Finance, Economics, Mathematics","Basic Requirements * Bachelor's   business degree * Minimum cumulative 3.2 GPA * Exceptional quantitative, analytical,   organizational skills * Ability       time employment   2016 (January   June) * Graduation   18 months   start   Preferred Skills * Major   Accounting, Finance, Economics,   Business Administration * Previous accounting   finance   internships   preferred * Knowledge   GAAP, secondary mortgage markets,   fixed income/derivative   mortgage securities * Good communication, interpersonal,   leadership skills"
2016 Actuarial Summer Internship,"       applied     Auto's Actuarial Summer Internship job   25289269,       apply     posting;         considered     on-campus interview. Applicants   apply     posting     considered   interviews     Auto's headquarters   downtown Columbus       date.       unsure         applied     Auto's previous posting,   refer     Applications Submitted dashboard     FutureLink homepage   confirm   applying.   Auto Insurance Companies     exciting 12 week paid summer Actuarial internship,   Actuarial Science, Math   Statistics Majors.   internship     located   Columbus, Ohio.   internship   start       June   2015.   intern   assist     projects, activities   events     Actuarial Department.",Internship,"Actuarial Science, Mathematics, Statistics, Mathematical Sciences - MMS, Mathematics - MS & PhD","Students     pursuing   degree program   Actuarial Science, Mathematics, Statistics,     program.       minimum cumulative GPA   2.5   above."
